text,diagnose,ICD,token_text,length
大腿离断术,大腿截断术,84.1701,大腿 离断术,2
胃穿孔修补术,胃修补术,44.6901,胃穿孔 修补术,2
IABP植入术,主动脉球囊反搏置入术,37.6101,IABP 植入术,2
腱鞘炎松解术,腱鞘松解术,83.0102,腱鞘炎 松解术,2
腰椎间盘造影术,椎间盘造影,87.2101,腰椎间盘 造影术,2
包皮环切,包皮环切术,64.0x00,包皮 环切,2
重睑术,重睑术,08.8902,重睑 术,2
双膝置换术,全部膝关节置换,81.5400,双膝 置换术,2
腰椎穿刺,腰椎穿刺术,03.3101,腰椎 穿刺,2
脑叶切开术,脑叶切开术,01.3201,脑叶 切开术,2
玻璃体注药术OD,玻璃体药物注射术,14.7903,玻璃体 注药术 OD,3
三叉神经减压术,三叉神经微血管减压术,04.4101,三叉神经 减压 术,3
腹部皮瓣断蒂术,带蒂皮瓣断蒂术,86.7101,腹部 皮瓣 断蒂术,3
右乳癌保乳术,单侧保乳乳腺改良根治术,85.4302,右 乳癌 保乳术,3
皮肤扩张器植入术,皮肤扩张器植入术,86.9301,皮肤 扩张器 植入术,3
胫骨病损切除术,胫骨病损切除术,77.6701,胫骨 病损 切除术,3
包皮背侧切开术,包皮切开术,64.9101,包皮 背侧 切开术,3
Miles'术,腹会阴直肠切除术,48.5000,Miles ' 术,3
子宫肌瘤切除术,子宫肌瘤切除术,68.2901,子宫 肌瘤 切除术,3
肾动脉支架植入术,肾动脉支架置入术,39.9016,肾动脉 支架 植入术,3
右踝关节融合术,踝融合术,81.1100,右 踝关节 融合术,3
半月板部分切除术,膝半月板部分切除术,80.6x03,半月板 部分 切除术,3
尿道冷刀切开,尿道切开术,58.0x00,尿道 冷刀 切开,3
皮肤恶性肿瘤切除术,皮肤病损切除术,86.3x02,皮肤 恶性肿瘤 切除术,3
左胫距关节融合术,胫距关节融合术,81.1101,左胫距 关节 融合术,3
肾盂成型术,肾盂成形术,55.8701,肾盂 成型 术,3
直肠前切除术,直肠前切除术,48.6301,直肠 前 切除术,3
左上肺切除术,肺叶切除术,32.4902,左上 肺 切除术,3
L3椎体成形术,经皮椎骨成形术,81.6500,L3 椎体 成形术,3
：颅骨修补术,颅成形术,02.0,： 颅骨 修补术,3
双侧跟腱切断术,跟腱切断术,83.1100,双侧 跟腱 切断术,3
右肾上腺切除术,单侧肾上腺切除术,07.2200,右 肾上腺 切除术,3
左乳区段切除,乳房病损局部切除术,85.2100,左乳 区段 切除,3
脑膜病损切除术,脑膜病损切除术,01.5106,脑膜 病损 切除术,3
左腓骨截骨术,腓骨缩短术,78.2702,左 腓骨 截骨术,3
左睾丸固定,睾丸固定术,62.5x00,左 睾丸 固定,3
双侧睾丸切除术,双侧睾丸切除术,62.4100x004,双侧 睾丸 切除术,3
甲状腺肿物切除术,甲状腺病损切除术,06.3100,甲状腺肿 物 切除术,3
左额部脑膜瘤切除术,脑膜病损切除术,01.5106,左额部 脑膜瘤 切除术,3
左膝滑膜切除术,膝关节滑膜切除术,80.7600,左膝 滑膜 切除术,3
腭裂整复术,腭裂矫正术,27.6200,腭裂 整复 术,3
周围神经阻滞术,周围神经阻滞术,04.8101,周围神经 阻滞 术,3
双声带病损切除术,声带病损切除术,30.0901,双声带 病损 切除术,3
肾上腺肿瘤切除术,肾上腺病损切除术,07.2100,肾上腺 肿瘤 切除术,3
肛乳头切除术,肛乳头切除术,49.3906,肛 乳头 切除术,3
乳突改良根治术,乳突改良根治术,20.4901,乳突 改良 根治术,3
乳房部分切除术,乳腺部分切除术,85.2301,乳房 部分 切除术,3
根治性肾切除术,单侧肾切除术,55.5101,根治性 肾 切除术,3
腱鞘病损切除术,腱鞘病损切除术,83.3100,腱鞘 病损 切除术,3
右乳肿瘤切除,乳房病损局部切除术,85.2100,右乳 肿瘤 切除,3
右侧肺大疱切除术,肺大泡切除术,32.2902,右侧 肺大疱 切除术,3
左髋关节旷置术,髋关节切开假体去除关节旷置术,80.0501,左 髋关节 旷置术,3
人工股骨头置换术,人工股骨头置换术,81.5201,人工 股骨头 置换术,3
股骨头减压术,股骨减压术,77.1502,股骨头 减压 术,3
甲状腺双叶切除术,甲状腺全部切除术,06.4x00,甲状腺 双叶 切除术,3
小肠部分切除术,小肠部分切除术,45.6201,小肠 部分 切除术,3
肝右叶占位切除术,肝病损切除术,50.2908,肝右叶 占位 切除术,3
血栓性外痔切除术,血栓性痔清除术,49.4700,血栓性 外痔 切除术,3
皮下脂肪瘤切除术,皮下组织病损切除术,86.3x03,皮下脂肪 瘤 切除术,3
阴茎部分切除术,阴茎部分切除术,64.3x01,阴茎 部分 切除术,3
胸腺囊肿切除术,胸腺病损切除术,07.8101,胸腺 囊肿 切除术,3
外耳病损切除术,外耳病损切除术,18.2901,外耳 病损 切除术,3
水囊引产术,水囊引产,73.1x01,水囊 引产 术,3
支气管囊肿切除术,支气管病损切除术,32.0901,支气管 囊肿 切除术,3
甲状腺细针穿刺术,闭合性[经皮][针吸]甲状腺活组织检查,06.1100,甲状腺 细针 穿刺术,3
DSA脑血管造影,脑血管造影,88.4101,DSA 脑血管 造影,3
尿道切开取石术,尿道切开取石术,58.0x01,尿道 切开 取石术,3
鼻窦病损切除术,鼻窦病损切除术,22.6001,鼻窦 病损 切除术,3
双肾造瘘术,肾造口术,55.0200,双 肾造 瘘术,3
脑室分流管置换术,脑室分流管置换术,02.4200,脑室 分流管 置换术,3
皮肤肿物切除,皮肤病损切除术,86.3x02,皮肤 肿物 切除,3
骨盆病损切除术,骨盆病损切除术,77.6901,骨盆 病损 切除术,3
睾丸病损切除术,睾丸病损切除术,62.2x01,睾丸 病损 切除术,3
左髋关节松解术,髋关节松解术,80.4501,左 髋关节 松解术,3
睾丸固定术左侧,睾丸固定术,62.5x00,睾丸 固定术 左侧,3
右环指清创再植术,手指断指再植术,84.2201,右环指 清创 再植术,3
直肠癌前切除术,直肠前切除术,48.6301,直肠癌 前 切除术,3
膀胱造瘘术,经皮膀胱造口术,57.1700,膀胱 造 瘘术,3
左心导管检查,左心导管置入,37.2200,左 心导管 检查,3
经皮髂骨成形术,骨盆成形术,78.4901,经皮 髂骨 成形术,3
左侧肺大疱切除术,肺大泡切除术,32.2902,左侧 肺大疱 切除术,3
扁桃体病损切除术,扁桃体病损切除术,28.9201,扁桃体 病损 切除术,3
双下肢截肢术,下肢截断术,84.1000,双下肢 截肢 术,3
舌系带矫治术,舌系带整形术,25.9101,舌系带 矫治 术,3
右侧输卵管切除术,单侧输卵管全部切除术,66.4x00,右侧 输卵管 切除术,3
左小指截指术,手指截断术，拇指除外,84.0102,左 小指 截指术,3
甲状腺腺瘤切除术,甲状腺病损切除术,06.3100,甲状腺 腺瘤 切除术,3
腰椎PVP术,经皮椎骨成形术,81.6500,腰椎 PVP 术,3
关节镜探查术,关节镜检查,80.2000,关节镜 探查 术,3
听神经病变切除术,听神经病损切除术,04.0711,听神经 病变 切除术,3
颅骨病灶切除术,颅骨病损的切除术,01.6x00,颅骨 病灶 切除术,3
双膝关节置换,全部膝关节置换,81.5400,双 膝关节 置换,3
右膝全膝置换术,全部膝关节置换,81.5400,右膝 全膝 置换术,3
皮瓣转移术,带蒂皮瓣或皮瓣移植,86.7000,皮瓣 转移 术,3
脾动脉瘤切除术,脾动脉瘤切除术,38.6601,脾 动脉瘤 切除术,3
小阴唇粘连松解术,外阴粘连松解术,71.0100,小阴唇 粘连 松解术,3
部分宫颈切除术,子宫颈部分切除术,67.4x01,部分 宫颈 切除术,3
腱鞘囊肿切除术,腱鞘囊肿切除术,83.3101,腱鞘 囊肿 切除术,3
右侧甲状腺全切术,单侧甲状腺叶切除术,06.2x00,右侧 甲状腺 全切术,3
颈动脉内膜切除术,颈动脉内膜切除术,38.1201,颈动脉 内膜 切除术,3
甲状腺囊肿切除术,甲状腺病损切除术,06.3100,甲状腺 囊肿 切除术,3
左乳保乳根治术,单侧保乳乳腺改良根治术,85.4302,左乳 保乳 根治术,3
双乳区段切除,乳房病损局部切除术,85.2100,双乳 区段 切除,3
供肾切取术,供肾取肾术,55.5102,供 肾切 取术,3
双侧扁桃体切除,扁桃体切除术不伴腺样增殖体切除术,28.2x00,双侧 扁桃体 切除,3
肾造瘘管置换术,肾造口导管置换,55.9300,肾造 瘘管 置换术,3
右手示指截指术,手指截断术，拇指除外,84.0102,右手 示指截 指术,3
左额部占位切除术,额叶病损切除术,01.5909,左额部 占位 切除术,3
颅骨病损切除术,颅骨病损的切除术,01.6x00,颅骨 病损 切除术,3
卵巢囊肿剥除术,卵巢病损切除术,65.2901,卵巢囊肿 剥除 术,3
膀胱根治性切除术,根治性膀胱切除术,57.7100,膀胱 根治性 切除术,3
右肝部分切除术,部分肝切除术,50.2200,右肝 部分 切除术,3
尿道外口整形术,尿道口成形术,58.4700,尿道 外口 整形术,3
全髋关节置换,全髋关节置换,81.5100,全 髋关节 置换,3
化脓性阑尾切除术,阑尾切除术,47.0901,化脓性 阑尾 切除术,3
颅骨成型术,颅成形术,02.0,颅骨 成型 术,3
全髋置换术,全髋关节置换,81.5100,全 髋 置换术,3
左拇指截指术,拇指截断术,84.0201,左 拇指 截指术,3
髂骨活检术,骨盆活组织检查,77.4901,髂骨 活检 术,3
右甲状腺全切术,单侧甲状腺叶切除术,06.2x00,右 甲状腺 全切术,3
后路椎体成形术,经皮椎骨成形术,81.6500,后路 椎体 成形术,3
左甲状旁腺切除,甲状旁腺部分切除术,06.8902,左 甲状旁腺 切除,3
带蒂皮瓣断蒂术,带蒂皮瓣断蒂术,86.7101,带蒂 皮瓣 断蒂术,3
Mathieu尿道成形术,尿道成形术,58.4901,Mathieu 尿道 成形术,3
右叶甲状腺全切术,单侧甲状腺叶切除术,06.2x00,右叶 甲状腺 全切术,3
椎骨楔形截骨术,椎骨楔形截骨术,77.2904,椎骨 楔形 截骨术,3
肱骨活检术,肱骨活组织检查,77.4200,肱骨 活检 术,3
右侧踝关节融合术,踝融合术,81.1100,右侧 踝关节 融合术,3
扁桃体剥离术,扁桃体切除术不伴腺样增殖体切除术,28.2x00,扁桃体 剥离 术,3
前列腺癌根治性切除,根治性前列腺切除术,60.5x00,前列腺癌 根治性 切除,3
经腹右肾切除术,单侧肾切除术,55.5101,经腹 右肾 切除术,3
左半尿路切除,肾输尿管切除术,55.5100,左半 尿路 切除,3
纵隔切开引流术,纵隔切开引流术,34.1x01,纵隔 切开 引流术,3
颅骨肿物切除术,颅骨病损的切除术,01.6x00,颅骨 肿物 切除术,3
左肾根治术,单侧肾切除术,55.5101,左 肾 根治术,3
骶骨病损切除术,椎骨病损切除术,77.6904,骶骨 病损 切除术,3
颅骨缺损修补,颅成形术,02.0,颅骨 缺损 修补,3
声带小结切除术,声带病损切除术,30.0901,声带 小结 切除术,3
了颅骨修补术,颅成形术,02.0,了 颅骨 修补术,3
颅骨修复术,颅成形术,02.0,颅骨 修复 术,3
人工耳蜗植入术,人工耳蜗置入术,20.9601,人工 耳蜗 植入术,3
脑室钻孔引流,脑室钻孔引流术,01.3901,脑室 钻孔 引流,3
左侧甲状腺切除,单侧甲状腺叶切除术,06.2x00,左侧 甲状腺 切除,3
左侧三叉神经MVD,三叉神经微血管减压术,04.4101,左侧 三叉神经 MVD,3
带蒂皮瓣移植术,带蒂皮瓣或皮瓣移植,86.7000,带蒂 皮瓣 移植术,3
颅骨钻孔引流术,颅骨钻孔引流术,01.2409,颅骨 钻孔 引流术,3
肾癌根治切除术,单侧肾切除术,55.5101,肾癌 根治 切除术,3
口腔粘膜病损切除术,口腔黏膜病损切除术,27.4901,口腔粘膜 病损 切除术,3
额叶胶质瘤切除术,额叶病损切除术,01.5909,额叶 胶质瘤 切除术,3
肾穿刺引流术,肾穿刺引流术,55.9201,肾 穿刺 引流术,3
肾盂成形术左侧,肾盂成形术,55.8701,肾盂 成形术 左侧,3
眼睑肿物切除术,去除眼睑病损,08.2000,眼睑 肿物 切除术,3
左膝人工关节置换,全部膝关节置换,81.5400,左膝 人工关节 置换,3
开腹探查术,开腹探查术,54.1100,开腹 探查 术,3
右髋关节穿刺术,关节穿刺术,81.9100,右 髋关节 穿刺术,3
尿道扩张术,尿道扩张,58.6x00,尿道 扩张 术,3
左示指再植术,手指断指再植术,84.2201,左示 指 再植术,3
脑干病损切除术,脑干病损切除术,01.5920,脑干 病损 切除术,3
肋骨部分切除术,肋骨部分切除术,77.8103,肋骨 部分 切除术,3
右膝人工关节置换术,全部膝关节置换,81.5400,右膝 人工关节 置换术,3
肾输尿管切除术,肾输尿管切除术,55.5100,肾 输尿管 切除术,3
跟腱修复术,肌腱修补术,83.8803,跟腱 修复 术,3
右环指断指再植术,手指断指再植术,84.2201,右环指 断指 再植术,3
头皮肿物切除术,皮肤病损切除术,86.3x02,头皮 肿物 切除术,3
左眼虹膜周切术,虹膜周边切除术,12.1403,左眼 虹膜 周切术,3
岩斜区脑膜瘤切除术,脑膜病损切除术,01.5106,岩斜区 脑膜瘤 切除术,3
椎体活检术,椎骨活组织检查,77.4904,椎体 活检 术,3
右小趾截趾术,趾截断术,84.1100,右 小趾 截趾术,3
左侧甲状腺全切术,单侧甲状腺叶切除术,06.2x00,左侧 甲状腺 全切术,3
右肩袖修补术,回旋肌环带修补术,83.6300,右肩 袖 修补术,3
皮肤病损切除术,皮肤病损切除术,86.3x02,皮肤病 损 切除术,3
输尿管镜拔管,输尿管导管去除,97.6201,输尿管 镜 拔管,3
左全髋关节置换,全髋关节置换,81.5100,左全 髋关节 置换,3
结肠息肉电切术,结肠病损切除术,45.4101,结肠 息肉 电切术,3
左侧胸膜固定术,胸膜固定术,34.9902,左侧 胸膜 固定术,3
子宫颈LEEP术,子宫颈环形电切术,67.3201,子宫颈 LEEP 术,3
面神经探查术,面神经探查术,04.0404,面神经 探查 术,3
右侧跟腱修补术,肌腱修补术,83.8803,右侧 跟腱 修补术,3
左肾切除术,单侧肾切除术,55.5101,左 肾 切除术,3
皮肤活检术,皮肤和皮下组织的活组织检查,86.1100,皮肤 活检 术,3
外阴肿物切除术,外阴病损切除术,71.3x04,外阴 肿物 切除术,3
右肾MT根治术,单侧肾切除术,55.5101,右肾 MT 根治术,3
Duplay尿道成形术,尿道成形术,58.4901,Duplay 尿道 成形术,3
侧脑室肿瘤切除术,侧脑室病损切除术,01.5903,侧脑室 肿瘤 切除术,3
右耳乳突根治术,根治性乳突切除术,20.4200,右耳 乳突 根治术,3
右侧附耳切除术,副耳切除术,18.2907,右侧 附耳 切除术,3
腹腔镜检查术,腹腔镜检查,54.2100,腹腔镜 检查 术,3
腹腔镜肝癌切除术,腹腔镜下肝病损切除术,50.2909,腹腔镜 肝癌 切除术,3
左额脑膜瘤切除术,脑膜病损切除术,01.5106,左额 脑膜瘤 切除术,3
诊断性刮宫,诊断性刮宫术,69.0901,诊断 性 刮宫,3
食管ESD术,内镜食管黏膜下剥离术,42.3305,食管 ESD 术,3
右眼睫状体光凝术,睫状体光凝固法,12.7300,右眼 睫状体 光凝术,3
嗅沟脑膜瘤切除术,脑膜病损切除术,01.5106,嗅沟 脑膜瘤 切除术,3
脑膜膨出修补术,脑膜膨出修补术,02.1202,脑膜 膨出 修补术,3
股骨病损切除术,股骨病损切除术,77.6501,股骨 病损 切除术,3
上颌骨部分切除术,上颌骨部分切除术,76.3902,上颌骨 部分 切除术,3
侧脑室占位切除术,侧脑室病损切除术,01.5903,侧脑室 占位 切除术,3
尿道口病损切除术,尿道口病损切除术,58.3906,尿道口 病损 切除术,3
股骨活检术,股骨活组织检查,77.4500,股骨 活检 术,3
肾囊肿去顶术,肾囊肿去顶术,55.0105,肾囊肿 去 顶术,3
心脏射频消融术,心脏射频消融术,37.3302,心脏 射频 消融术,3
肋骨占位切除术,肋骨病损切除术,77.6103,肋骨 占位 切除术,3
尺神经松解术,尺神经松解术,04.4908,尺 神经 松解术,3
PICC置管术,经外周静脉穿刺中心静脉置管术,38.9301,PICC 置 管术,3
右肾肿瘤根治术,单侧肾切除术,55.5101,右肾 肿瘤 根治术,3
骨活组织检查,骨活组织检查,77.4000,骨活 组织 检查,3
周围神经肿瘤切除术,周围神经病损切除术,04.0713,周围神经 肿瘤 切除术,3
外耳道成型术,外耳道成形术,18.6x01,外耳道 成型 术,3
输尿管插管术,输尿管导管插入术,59.8x00,输尿管 插管 术,3
子宫次全切术,子宫次全切除术,68.3901,子宫 次 全切术,3
手部腱鞘松解术,手部腱鞘松解术,82.0101,手部 腱鞘 松解术,3
右肺大泡切除术,肺大泡切除术,32.2902,右 肺大泡 切除术,3
电吸刮宫术,电吸刮宫术,69.5901,电吸 刮宫 术,3
椎骨活检术,椎骨活组织检查,77.4904,椎骨 活检 术,3
右额脑膜瘤切除术,脑膜病损切除术,01.5106,右额 脑膜瘤 切除术,3
皮瓣修整术,皮瓣修整术,86.7503,皮瓣 修整 术,3
左膝关节融合术,膝关节融合术,81.2201,左 膝关节 融合术,3
耳前病损切除术,耳前病损切除术,18.2101,耳前 病损 切除术,3
右肾输尿管切除术,肾输尿管切除术,55.5100,右肾 输尿管 切除术,3
宫颈活检术,子宫颈内活组织检查,67.1100,宫颈 活检 术,3
尿道内切开术,尿道切开术,58.0x00,尿道 内 切开术,3
经皮肾造瘘术,肾造口术,55.0200,经皮 肾造 瘘术,3
右顶脑膜瘤切除术,脑膜病损切除术,01.5106,右顶 脑膜瘤 切除术,3
葡萄胎清宫术,终止妊娠刮宫术,69.0101,葡萄胎 清宫 术,3
右侧甲状腺全切,单侧甲状腺叶切除术,06.2x00,右侧 甲状腺 全切,3
神经根阻滞,周围神经麻醉药注射，为了镇痛,04.8100,神经 根 阻滞,3
腹腔镜胆囊切除术,腹腔镜下胆囊切除术,51.2300,腹腔镜 胆囊 切除术,3
鞍区占位切除术,鞍区病损切除术,01.5902,鞍区 占位 切除术,3
结肠息肉电凝术,结肠病损切除术,45.4101,结肠 息肉 电凝术,3
经额脑膜瘤切除术,经额脑膜病损切除术,01.5104,经额 脑膜瘤 切除术,3
宫颈LEEP术,子宫颈环形电切术,67.3201,宫颈 LEEP 术,3
膀胱切开取石术,膀胱切开取石术,57.1902,膀胱 切开 取石术,3
左环指清创再植术,手指断指再植术,84.2201,左环指 清创 再植术,3
右眼小梁切除术,外路小梁切除术,12.6400,右眼 小梁 切除术,3
双侧扁桃体剥切术,扁桃体切除术不伴腺样增殖体切除术,28.2x00,双侧 扁桃体 剥切术,3
左乳肿区段除术,乳房病损局部切除术,85.2100,左乳肿 区段 除术,3
左示指截指术,手指截断术，拇指除外,84.0102,左示 指截 指术,3
右侧肾上腺切除术,单侧肾上腺切除术,07.2200,右侧 肾上腺 切除术,3
经皮椎间盘造影术,椎间盘造影,87.2101,经皮 椎间盘 造影术,3
腹腔镜右肾切除,腹腔镜下单侧肾切除术,55.5103,腹腔镜 右肾 切除,3
额骨骨瘤切除术,颅骨病损的切除术,01.6x00,额骨 骨瘤 切除术,3
右跟腱松解术,足部肌腱松解术,83.1301,右 跟腱 松解术,3
暂时性气管切开术,暂时性气管造口术,31.1x00,暂时性 气管 切开术,3
额叶肿瘤切除术,顶叶病损切除术,01.5908,额叶 肿瘤 切除术,3
脊髓肿瘤切除术,脊髓病损切除术,03.4x03,脊髓 肿瘤 切除术,3
输尿管置管术,输尿管导管插入术,59.8x00,输尿管 置 管术,3
左肩关节离断术,肩关节离断术,84.0800,左 肩关节 离断术,3
膀胱肿物电切术,膀胱病损切除术,57.5901,膀胱 肿物 电切术,3
肛瘘切开挂线术,肛瘘挂线术,49.7301,肛瘘 切开 挂线术,3
右半骨盆离断术,半侧骨盆截断术,84.1901,右半 骨盆 离断术,3
颅骨修补成形术,颅成形术,02.0,颅骨 修补 成形术,3
正中神经松解术,正中神经松解术,04.4907,正中 神经 松解术,3
右足截肢术,经足截断术,84.1200,右足 截肢 术,3
经腹全子宫切除术,经腹全子宫切除术,68.4901,经腹全 子宫 切除术,3
右侧面神经MVD,面神经微血管减压术,04.4204,右侧 面神经 MVD,3
膝关节镜检术,关节镜膝关节检查,80.2600,膝关节 镜检 术,3
宫颈椎切术,子宫颈锥形切除术,67.2x00,宫 颈椎 切术,3
左右心导管术,联合的右心和左心导管置入,37.2300,左右 心导管 术,3
肝血管瘤切除术,肝病损切除术,50.2908,肝 血管瘤 切除术,3
顶骨骨瘤切除术,颅骨病损的切除术,01.6x00,顶骨 骨瘤 切除术,3
右手多指切除术,上肢截断术,84.0000,右手 多指 切除术,3
左颈淋巴管结扎术,周围淋巴管结扎术,40.9x02,左颈 淋巴管 结扎术,3
玻璃体注药术OU,玻璃体药物注射术,14.7903,玻璃体 注药术 OU,3
尿道口肿块切除,尿道口病损切除术,58.3906,尿道口 肿块 切除,3
右心导管测压,右心导管置入,37.2100,右 心导管 测压,3
侧脑室外引流,颅外脑室分流术,02.3,侧脑室 外 引流,3
右足拇趾截趾术,趾截断术,84.1100,右足 拇趾 截趾术,3
右侧颅骨修补术,颅成形术,02.0,右侧 颅骨 修补术,3
右肾切开取石,肾切开取石术,55.0102,右肾 切开 取石,3
甲状旁腺肿物切除,甲状旁腺病损切除术,06.8903,甲状旁腺 肿物 切除,3
右手多指截指术,上肢截断术,84.0000,右手 多指 截指术,3
腰椎PKP术,经皮椎体增强,81.6600,腰椎 PKP 术,3
产后刮宫术,分娩或流产后的扩张和刮宫术,69.0200,产后 刮宫 术,3
乳房病损切除术,乳房病损局部切除术,85.2100,乳房 病损 切除术,3
直肠狭窄切开术,直肠狭窄切开术,48.9100,直肠 狭窄 切开术,3
颅底病损切除术,颅底病损切除术,01.5918,颅底 病损 切除术,3
膝关节部分置换术,部分膝关节置换术,81.5401,膝关节 部分 置换术,3
右膝关节穿刺术,关节穿刺术,81.9100,右 膝关节 穿刺术,3
足趾截断术,趾截断术,84.1100,足趾 截断 术,3
根治性右肾切除,单侧肾切除术,55.5101,根治性 右肾 切除,3
鼻中隔偏曲矫正术,修正性鼻成形术,21.8400,鼻中隔 偏曲 矫正术,3
肾动脉支架术,肾动脉支架置入术,39.9016,肾动脉 支架 术,3
复杂肠粘连松解,肠粘连松解术,54.5903,复杂 肠粘连 松解,3
跟腱缝合术,肌腱修补术,83.8803,跟腱 缝合 术,3
颅骨良性肿瘤切除术,颅骨病损的切除术,01.6x00,颅骨 良性肿瘤 切除术,3
胫骨外固定术,胫骨外固定术,78.1701,胫骨 外 固定术,3
颞叶病损切除术,颞叶病损切除术,01.5913,颞叶 病损 切除术,3
右胸壁清创术,胸壁清创缝合术,34.7101,右 胸壁 清创术,3
经皮椎体成形术,经皮椎骨成形术,81.6500,经皮 椎体 成形术,3
左胸壁清创术,胸壁清创缝合术,34.7101,左 胸壁 清创术,3
腹壁伤口清创术,腹壁清创术,54.3x06,腹壁 伤口 清创术,3
双侧大腿吸脂术,大腿吸脂术,86.8304,双侧 大腿 吸脂术,3
